id;ime_gore;drzava;gorovje;visina;vrsta;ogledi;stevilo_slik;stevilo_poti;stevilo_gps_sledi;vpisna_knjiga;sirina;dolzina;priljubljenost_pct;mesto
1;Triglav;Slovenija;Julijske Alpe;2864;vrh,bivak;1965519;44;29;20;29;46.37832;13.83648;100;1
2;Škrlatica;Slovenija;Julijske Alpe;2740;vrh;905743;24;5;5;3;46.43277;13.82114;99;43
3;Mali Triglav;Slovenija;Julijske Alpe;2725;vrh;540768;4;10;2;18;46.37683;13.84315;93;271
4;Mangart;Italija, Slovenija;Julijske Alpe;2679;vrh;1080776;26;8;5;11;46.43948;13.65457;100;18
5;Visoki Rokav;Slovenija;Julijske Alpe;2646;vrh;534269;2;2;0;;46.43547;13.8283;93;283
6;Jalovec;Slovenija;Julijske Alpe;2645;vrh;1008253;29;10;7;5;46.42154;13.68002;99;26
7;Veliki Oltar;Slovenija;Julijske Alpe;2621;vrh;592432;5;2;1;;46.43919;13.82995;95;191
8;Velika Martuljška Ponca;Slovenija;Julijske Alpe;2602;vrh;525938;5;1;1;;46.44179;13.82419;92;300
9;Razor;Slovenija;Julijske Alpe;2601;vrh;821295;18;5;4;7;46.41194;13.79138;99;57
10;Dolkova špica;Slovenija;Julijske Alpe;2591;vrh;595712;17;6;2;1;46.42574;13.81467;95;187
12;Visoki Kanin;Italija, Slovenija;Julijske Alpe;2587;vrh;671828;11;8;1;;46.36018;13.439;97;120
13;Mali Kanin;Italija, Slovenija;Julijske Alpe;2571;vrh;454587;9;3;0;;46.35727;13.43765;87;483
14;Kanjavec;Slovenija;Julijske Alpe;2569;vrh;705020;15;8;5;4;46.36013;13.80974;97;102
16;Grintovec;Slovenija;Kamniško Savinjske Alpe;2558;vrh;1371010;14;14;4;21;46.35718;14.53548;100;4
17;Glava v Zaplanji;Slovenija;Julijske Alpe;2556;vrh;450281;3;4;0;1;46.37731;13.82801;87;501
18;Prisank / Prisojnik;Slovenija;Julijske Alpe;2547;vrh;1013729;17;12;0;7;46.42464;13.76974;99;22
19;Rogljica;Slovenija;Julijske Alpe;2547;vrh;406115;5;1;0;;46.42769;13.81231;83;641
22;Dovški križ;Slovenija;Julijske Alpe;2542;vrh;553312;4;2;3;1;46.44081;13.8422;93;254
23;Triglavski dom na Kredarici;Slovenija;Julijske Alpe;2515;vrh,koča,cerkev;763581;19;11;3;21;46.37891;13.84928;98;75
25;Jezerska Kočna;Slovenija;Kamniško Savinjske Alpe;2540;vrh;784410;12;14;2;5;46.3587;14.52206;98;64
26;Rž;Slovenija;Julijske Alpe;2538;vrh;505814;14;4;0;3;46.38155;13.8591;91;348
27;Rjavina;Slovenija;Julijske Alpe;2532;vrh;690539;25;9;6;2;46.39185;13.88088;97;111
28;Skuta;Slovenija;Kamniško Savinjske Alpe;2532;vrh;1002359;10;9;4;6;46.36328;14.55768;99;28
31;Kokrska Kočna;Slovenija;Kamniško Savinjske Alpe;2520;vrh;588982;10;8;2;2;46.35713;14.51984;95;196
33;Stenar;Slovenija;Julijske Alpe;2501;vrh;740734;17;6;2;3;46.40795;13.81896;98;84
35;Prestreljenik;Italija, Slovenija;Julijske Alpe;2499;vrh;555160;8;7;2;1;46.36214;13.47237;93;250
40;Veliki Ozebnik;Slovenija;Julijske Alpe;2480;vrh;455059;4;4;0;2;46.41572;13.67936;87;481
42;Dolgi hrbet;Slovenija;Kamniško Savinjske Alpe;2473;vrh;573439;7;6;0;2;46.36285;14.54596;94;222
43;Špik;Slovenija;Julijske Alpe;2472;vrh;884462;18;5;6;2;46.44872;13.81432;99;47
46;Mišeljski Konec;Slovenija;Julijske Alpe;2464;vrh;442961;11;1;1;;46.35458;13.81831;86;526
48;Begunjski vrh;Slovenija;Julijske Alpe;2461;vrh;549484;16;6;2;3;46.39032;13.85436;93;260
49;Štruca;Slovenija;Kamniško Savinjske Alpe;2457;vrh;543084;4;7;0;3;46.36269;14.55315;93;269
50;Kranjska Rinka;Slovenija;Kamniško Savinjske Alpe;2453;vrh;586254;5;7;0;1;46.36565;14.56361;95;198
52;Begunjščica;Slovenija;Karavanke;2060;vrh;1233810;29;14;5;25;46.42166;14.22982;100;7
53;Stol;Avstrija, Slovenija;Karavanke;2236;vrh;1380629;23;20;10;43;46.43402;14.17362;100;3
70;Čelo;Slovenija;Julijske Alpe;2228;vrh;459298;7;7;1;;46.32912;13.74117;88;471
