gora_id;pot_id;izhodisce;izhodisce_visina_m;sirina;dolzina;cilj;cilj_visina_m;ime_poti;cas_hoje_min;dolzina_km;zahtevnost;oznacena;ferata;visinska_razlika_m;visinska_razlika_po_poti_m;zemljevid;oprema_poletje;oprema_zima;ogledi;stevilo_slik;stevilo_komentarjev
1;125;Aljažev dom v Vratih;987;46.41280;13.84660;Triglav;2864;Tominškova pot;370;6.56;3;1;B;1877;1930;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;398612;61;281
1;133;Konec ceste na Pokljuki;1312;46.33860;13.90450;Triglav;2864;čez Planiko in Mali Triglav;360;12.11;3;1;;1552;1700;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;298701;109;154
1;129;Dolina Krma;930;46.38510;13.90710;Triglav;2864;čez Kredarico;375;9.67;3;1;;1934;1985;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;290379;82;97
1;127;Aljažev dom v Vratih;987;46.41280;13.84660;Triglav;2864;čez Plemenice;390;7.95;3;1;B/C;1877;1900;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;241601;73;212
1;126;Aljažev dom v Vratih;987;46.41280;13.84660;Triglav;2864;čez Prag;380;8.22;3;1;;1877;1930;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;214290;66;178
1;130;Dolina Krma;930;46.38510;13.90710;Triglav;2864;čez Planiko in Mali Triglav;360;9.19;3;1;;1934;1970;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;205416;84;118
1;248;Koča pri Savici;653;46.28960;13.80220;Triglav;2864;po Dolini Triglavskih jezer;535;17.11;3;1;;2211;2530;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;179004;109;66
1;163;Zadnjica;642;46.38240;13.76040;Triglav;2864;čez Dolič;450;13.21;3;1;;2222;2245;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;148648;64;109
1;1098;Rudno polje;1347;46.34580;13.92360;Triglav;2864;čez Kredarico;400;12.98;3;1;;1517;1800;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;134931;127;33
1;797;Konec  ceste na Pokljuki;1312;46.33860;13.90450;Triglav;2864;čez Planiko in Triglavsko škrbino;355;12.07;3;1;;1552;1680;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;101068;111;45
