gora_id;pot_id;izhodisce;sirina_dolzina;cilj;ime_poti;cas_hoje;dolzina_km;zahtevnost;ferata;visinska_razlika_m;visinska_razlika_po_poti_m;zemljevid;oprema_poletje;oprema_zima;ogledi;stevilo_slik;stevilo_komentarjev;povezava
1;125;Aljažev dom v Vratih (987 m);46,41280°N 13,84660°E;Triglav (2864 m);Tominškova pot;6 h 10 min;6,56 km;zelo zahtevna označena pot;B;1877;1930;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;398612;61;281;https://www.hribi.net/izlet/aljazev_dom_v_vratih_triglav_tominskova_pot/1/1/125
1;133;Konec ceste na Pokljuki (1312 m);46,33860°N 13,90450°E;Triglav (2864 m);čez Planiko in Mali Triglav;6 h;12,11 km;zelo zahtevna označena pot;;1552;1700;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;298701;109;154;https://www.hribi.net/izlet/konec_ceste_na_pokljuki_triglav_cez_planiko_in_mali_triglav/1/1/133
1;129;Dolina Krma (930 m);46,38510°N 13,90710°E;Triglav (2864 m);čez Kredarico;6 h 15 min;9,67 km;zelo zahtevna označena pot;;1934;1985;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;290379;82;97;https://www.hribi.net/izlet/dolina_krma_triglav_cez_kredarico/1/1/129
1;127;Aljažev dom v Vratih (987 m);46,41280°N 13,84660°E;Triglav (2864 m);čez Plemenice;6 h 30 min;7,95 km;zelo zahtevna označena pot;B/C;1877;1900;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;241601;73;212;https://www.hribi.net/izlet/aljazev_dom_v_vratih_triglav_cez_plemenice/1/1/127
1;126;Aljažev dom v Vratih (987 m);46,41280°N 13,84660°E;Triglav (2864 m);čez Prag;6 h 20 min;8,22 km;zelo zahtevna označena pot;;1877;1930;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;214290;66;178;https://www.hribi.net/izlet/aljazev_dom_v_vratih_triglav_cez_prag/1/1/126
1;130;Dolina Krma (930 m);46,38510°N 13,90710°E;Triglav (2864 m);čez Planiko in Mali Triglav;6 h;9,19 km;zelo zahtevna označena pot;;1934;1970;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;205416;84;118;https://www.hribi.net/izlet/dolina_krma_triglav_cez_planiko_in_mali_triglav/1/1/130
1;248;Koča pri Savici (653 m);46,28960°N 13,80220°E;Triglav (2864 m);po Dolini Triglavskih jezer;8 h 55 min;17,11 km;zelo zahtevna označena pot;;2211;2530;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;179004;109;66;https://www.hribi.net/izlet/koca_pri_savici_triglav_po_dolini_triglavskih_jezer/1/1/248
1;163;Zadnjica (642 m);46,38240°N 13,76040°E;Triglav (2864 m);čez Dolič;7 h 30 min;13,21 km;zelo zahtevna označena pot;;2222;2245;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;148648;64;109;https://www.hribi.net/izlet/zadnjica_triglav_cez_dolic/1/1/163
1;1098;Rudno polje (1347 m);46,34580°N 13,92360°E;Triglav (2864 m);čez Kredarico;6 h 40 min;12,98 km;zelo zahtevna označena pot;;1517;1800;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;134931;127;33;https://www.hribi.net/izlet/rudno_polje_triglav_cez_kredarico/1/1/1098
1;797;Konec  ceste na Pokljuki (1312 m);46,33860°N 13,90450°E;Triglav (2864 m);čez Planiko in Triglavsko škrbino;5 h 55 min;12,07 km;zelo zahtevna označena pot;;1552;1680;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;101068;111;45;https://www.hribi.net/izlet/konec__ceste_na_pokljuki_triglav_cez_planiko_in_triglavsko_skrbino/1/1/797
1;132;Konec ceste na Pokljuki (1312 m);46,33860°N 13,90450°E;Triglav (2864 m);čez Kredarico;6 h 15 min;12,16 km;zelo zahtevna označena pot;;1552;1710;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;90205;108;7;https://www.hribi.net/izlet/konec_ceste_na_pokljuki_triglav_cez_kredarico/1/1/132
1;128;Dolina Kot (950 m);46,41570°N 13,89770°E;Triglav (2864 m);;6 h 25 min;8,67 km;zelo zahtevna označena pot;;1914;2065;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;79759;97;12;https://www.hribi.net/izlet/dolina_kot_triglav/1/1/128
1;131;Dolina Krma (930 m);46,38510°N 13,90710°E;Triglav (2864 m);čez Planiko in Triglavsko škrbino;5 h 55 min;9,14 km;zelo zahtevna označena pot;;1934;1950;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;74419;86;38;https://www.hribi.net/izlet/dolina_krma_triglav_cez_planiko_in_triglavsko_skrbino/1/1/131
1;2539;Turkov rovt (Vrata) (941 m);46,41790°N 13,85800°E;Triglav (2864 m);po dolini Za Cmirom;6 h 25 min;8,36 km;lahko brezpotje, zelo zahtevna označena pot;;1923;2020;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;61819;85;6;https://www.hribi.net/izlet/turkov_rovt_vrata_triglav_po_dolini_za_cmirom/1/1/2539
1;162;Zadnjica (642 m);46,38240°N 13,76040°E;Triglav (2864 m);čez Plemenice;7 h 20 min;10,91 km;zelo zahtevna označena pot;B/C;2222;2230;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;56366;72;22;https://www.hribi.net/izlet/zadnjica_triglav_cez_plemenice/1/1/162
1;1855;Rudno polje (1347 m);46,34580°N 13,92360°E;Triglav (2864 m);čez Kugyjevo polico;7 h 35 min;14,61 km;zahtevno brezpotje, zelo zahtevna označena pot;;1517;2000;Triglav 1 : 25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;44491;113;6;https://www.hribi.net/izlet/rudno_polje_triglav_cez_kugyjevo_polico/1/1/1855
