id;ime_gore;drzava;gorovje;visina;sirina_dolzina;vrsta;ogledi;priljubljenost;stevilo_slik;stevilo_poti;stevilo_gps_sledi;vpisna_knjiga;povezava
1;Triglav;Slovenija;Julijske Alpe;2864;46,37832°N 13,83648°E;vrh, bivak;1965519;100% (1. mesto);44;29;20;29;https://www.hribi.net/gora/triglav/1/1
2;Škrlatica;Slovenija;Julijske Alpe;2740;46,43277°N 13,82114°E;vrh;905743;99% (43. mesto);24;5;5;3;https://www.hribi.net/gora/skrlatica/1/2
3;Mali Triglav;Slovenija;Julijske Alpe;2725;46,37683°N 13,84315°E;vrh;540768;93% (271. mesto);4;10;2;18;https://www.hribi.net/gora/mali_triglav/1/3
4;Mangart;Italija, Slovenija;Julijske Alpe;2679;46,43948°N 13,65457°E;vrh;1080776;100% (18. mesto);26;8;5;11;https://www.hribi.net/gora/mangart/1/4
5;Visoki Rokav;Slovenija;Julijske Alpe;2646;46,43547°N 13,8283°E;vrh;534269;93% (283. mesto);2;2;0;;https://www.hribi.net/gora/visoki_rokav/1/5
6;Jalovec;Slovenija;Julijske Alpe;2645;46,42154°N 13,68002°E;vrh;1008253;99% (26. mesto);29;10;7;5;https://www.hribi.net/gora/jalovec/1/6
7;Veliki Oltar;Slovenija;Julijske Alpe;2621;46,43919°N 13,82995°E;vrh;592432;95% (191. mesto);5;2;1;;https://www.hribi.net/gora/veliki_oltar/1/7
8;Velika Martuljška Ponca;Slovenija;Julijske Alpe;2602;46,44179°N 13,82419°E;vrh;525938;92% (300. mesto);5;1;1;;https://www.hribi.net/gora/velika_martuljska_ponca/1/8
9;Razor;Slovenija;Julijske Alpe;2601;46,41194°N 13,79138°E;vrh;821295;99% (57. mesto);18;5;4;7;https://www.hribi.net/gora/razor/1/9
10;Dolkova špica;Slovenija;Julijske Alpe;2591;46,42574°N 13,81467°E;vrh;595712;95% (187. mesto);17;6;2;1;https://www.hribi.net/gora/dolkova_spica/1/10
12;Visoki Kanin;Italija, Slovenija;Julijske Alpe;2587;46,36018°N 13,439°E;vrh;671828;97% (120. mesto);11;8;1;;https://www.hribi.net/gora/visoki_kanin/1/12
13;Mali Kanin;Italija, Slovenija;Julijske Alpe;2571;46,35727°N 13,43765°E;vrh;454587;87% (483. mesto);9;3;0;;https://www.hribi.net/gora/mali_kanin/1/13
14;Kanjavec;Slovenija;Julijske Alpe;2569;46,36013°N 13,80974°E;vrh;705020;97% (102. mesto);15;8;5;4;https://www.hribi.net/gora/kanjavec/1/14
16;Grintovec;Slovenija;Kamniško Savinjske Alpe;2558;46,35718°N 14,53548°E;vrh;1371010;100% (4. mesto);14;14;4;21;https://www.hribi.net/gora/grintovec/3/16
17;Glava v Zaplanji;Slovenija;Julijske Alpe;2556;46,37731°N 13,82801°E;vrh;450281;87% (501. mesto);3;4;0;1;https://www.hribi.net/gora/glava_v_zaplanji/1/17
18;Prisank / Prisojnik;Slovenija;Julijske Alpe;2547;46,42464°N 13,76974°E;vrh;1013729;99% (22. mesto);17;12;0;7;https://www.hribi.net/gora/prisank___prisojnik/1/18
19;Rogljica;Slovenija;Julijske Alpe;2547;46,42769°N 13,81231°E;vrh;406115;83% (641. mesto);5;1;0;;https://www.hribi.net/gora/rogljica/1/19
22;Dovški križ;Slovenija;Julijske Alpe;2542;46,44081°N 13,8422°E;vrh;553312;93% (254. mesto);4;2;3;1;https://www.hribi.net/gora/dovski_kriz/1/22
23;Triglavski dom na Kredarici;Slovenija;Julijske Alpe;2515;46,37891°N 13,84928°E;vrh, koča, cerkev;763581;98% (75. mesto);19;11;3;21;https://www.hribi.net/gora/triglavski_dom_na_kredarici/1/23
25;Jezerska Kočna;Slovenija;Kamniško Savinjske Alpe;2540;46,3587°N 14,52206°E;vrh;784410;98% (64. mesto);12;14;2;5;https://www.hribi.net/gora/jezerska_kocna/3/25
26;Rž;Slovenija;Julijske Alpe;2538;46,38155°N 13,8591°E;vrh;505814;91% (348. mesto);14;4;0;3;https://www.hribi.net/gora/rz/1/26
27;Rjavina;Slovenija;Julijske Alpe;2532;46,39185°N 13,88088°E;vrh;690539;97% (111. mesto);25;9;6;2;https://www.hribi.net/gora/rjavina/1/27
28;Skuta;Slovenija;Kamniško Savinjske Alpe;2532;46,36328°N 14,55768°E;vrh;1002359;99% (28. mesto);10;9;4;6;https://www.hribi.net/gora/skuta/3/28
31;Kokrska Kočna;Slovenija;Kamniško Savinjske Alpe;2520;46,35713°N 14,51984°E;vrh;588982;95% (196. mesto);10;8;2;2;https://www.hribi.net/gora/kokrska_kocna/3/31
33;Stenar;Slovenija;Julijske Alpe;2501;46,40795°N 13,81896°E;vrh;740734;98% (84. mesto);17;6;2;3;https://www.hribi.net/gora/stenar/1/33
35;Prestreljenik;Italija, Slovenija;Julijske Alpe;2499;46,36214°N 13,47237°E;vrh;555160;93% (250. mesto);8;7;2;1;https://www.hribi.net/gora/prestreljenik/1/35
40;Veliki Ozebnik;Slovenija;Julijske Alpe;2480;46,41572°N 13,67936°E;vrh;455059;87% (481. mesto);4;4;0;2;https://www.hribi.net/gora/veliki_ozebnik/1/40
42;Dolgi hrbet;Slovenija;Kamniško Savinjske Alpe;2473;46,36285°N 14,54596°E;vrh;573439;94% (222. mesto);7;6;0;2;https://www.hribi.net/gora/dolgi_hrbet/3/42
43;Špik;Slovenija;Julijske Alpe;2472;46,44872°N 13,81432°E;vrh;884462;99% (47. mesto);18;5;6;2;https://www.hribi.net/gora/spik/1/43
46;Mišeljski Konec;Slovenija;Julijske Alpe;2464;46,35458°N 13,81831°E;vrh;442961;86% (526. mesto);11;1;1;;https://www.hribi.net/gora/miseljski_konec/1/46
48;Begunjski vrh;Slovenija;Julijske Alpe;2461;46,39032°N 13,85436°E;vrh;549484;93% (260. mesto);16;6;2;3;https://www.hribi.net/gora/begunjski_vrh/1/48
49;Štruca;Slovenija;Kamniško Savinjske Alpe;2457;46,36269°N 14,55315°E;vrh;543084;93% (269. mesto);4;7;0;3;https://www.hribi.net/gora/struca/3/49
50;Kranjska Rinka;Slovenija;Kamniško Savinjske Alpe;2453;46,36565°N 14,56361°E;vrh;586254;95% (198. mesto);5;7;0;1;https://www.hribi.net/gora/kranjska_rinka/3/50
52;Begunjščica;Slovenija;Karavanke;2060;46,42166°N 14,22982°E;vrh;1233810;100% (7. mesto);29;14;5;25;https://www.hribi.net/gora/begunjscica/11/52
53;Stol;Avstrija, Slovenija;Karavanke;2236;46,43402°N 14,17362°E;vrh;1380629;100% (3. mesto);23;20;10;43;https://www.hribi.net/gora/stol/11/53
70;Čelo;Slovenija;Julijske Alpe;2228;46,32912°N 13,74117°E;vrh;459298;88% (471. mesto);7;7;1;;https://www.hribi.net/gora/celo/1/70
71;Planina Korošica;Slovenija;Karavanke;1554;46,43416°N 14,29156°E;koča, planina;698197;97% (106. mesto);15;6;0;7;https://www.hribi.net/gora/planina_korosica/11/71
72;Košutica;Avstrija, Slovenija;Karavanke;1968;46,43892°N 14,29909°E;vrh;647288;96% (136. mesto);14;8;3;6;https://www.hribi.net/gora/kosutica/11/72
73;Veliki Zvoh;Slovenija;Kamniško Savinjske Alpe;1971;46,3087°N 14,54165°E;vrh, jezero;626677;96% (150. mesto);7;5;4;18;https://www.hribi.net/gora/veliki_zvoh/3/73
74;Veliki vrh (Košuta);Avstrija, Slovenija;Karavanke;2088;46,43068°N 14,30956°E;vrh;1036506;99% (21. mesto);15;9;2;18;https://www.hribi.net/gora/veliki_vrh_kosuta/11/74
75;Polhograjska Grmada;Slovenija;Polhograjsko hribovje in Ljubljana;898;46,08381°N 14,33304°E;vrh;872714;99% (48. mesto);18;17;6;23;https://www.hribi.net/gora/polhograjska_grmada/5/75
76;Blejska koča na Lipanci;Slovenija;Julijske Alpe;1630;46,3753°N 13,92753°E;koča, planina;811035;98% (59. mesto);18;5;1;20;https://www.hribi.net/gora/blejska_koca_na_lipanci/1/76
77;Viševnik;Slovenija;Julijske Alpe;2050;46,35901°N 13,89829°E;vrh;1190122;100% (9. mesto);15;21;6;47;https://www.hribi.net/gora/visevnik/1/77
78;Vrtača;Avstrija, Slovenija;Karavanke;2181;46,43992°N 14,21226°E;vrh;924756;99% (38. mesto);17;12;4;18;https://www.hribi.net/gora/vrtaca/11/78
80;Planjava;Slovenija;Kamniško Savinjske Alpe;2392;46,35652°N 14,61372°E;vrh;855692;99% (50. mesto);10;13;4;11;https://www.hribi.net/gora/planjava/3/80
81;Mrežce;Slovenija;Julijske Alpe;1965;46,37759°N 13,91953°E;vrh;633748;96% (142. mesto);7;8;1;13;https://www.hribi.net/gora/mrezce/1/81
82;Lipanski vrh;Slovenija;Julijske Alpe;1974;46,37901°N 13,92016°E;vrh;524268;92% (304. mesto);8;5;2;7;https://www.hribi.net/gora/lipanski_vrh/1/82
83;Tosc;Slovenija;Julijske Alpe;2275;46,35672°N 13,8684°E;vrh;772882;98% (70. mesto);16;6;8;7;https://www.hribi.net/gora/tosc/1/83
84;Debela peč;Slovenija;Julijske Alpe;2014;46,39071°N 13,93316°E;vrh;1145232;100% (14. mesto);10;13;5;34;https://www.hribi.net/gora/debela_pec/1/84
85;Storžič;Slovenija;Kamniško Savinjske Alpe;2132;46,35028°N 14,40472°E;vrh;1389688;100% (2. mesto);29;30;9;46;https://www.hribi.net/gora/storzic/3/85
87;Črna prst;Slovenija;Julijske Alpe;1844;46,23062°N 13,93184°E;vrh, koča, bivak;922799;99% (39. mesto);17;18;6;17;https://www.hribi.net/gora/crna_prst/1/87
88;Žleb (Suho ruševje);Avstrija, Slovenija;Karavanke;1916;46,44258°N 14,21709°E;sedlo;407659;83% (633. mesto);2;1;0;4;https://www.hribi.net/gora/zleb_suho_rusevje/11/88
90;Visoka Ponca;Italija, Slovenija;Julijske Alpe;2274;46,46014°N 13,6974°E;vrh;578573;94% (212. mesto);12;3;1;;https://www.hribi.net/gora/visoka_ponca/1/90
91;Dom na Zelenici;Slovenija;Karavanke;1536;46,42899°N 14,23357°E;koča;818549;98% (58. mesto);19;6;2;62;https://www.hribi.net/gora/dom_na_zelenici/11/91
92;Vrh Ljubeljščice (Triangel);Slovenija;Karavanke;1704;46,43219°N 14,23721°E;vrh;533958;93% (284. mesto);9;3;1;20;https://www.hribi.net/gora/vrh_ljubeljscice_triangel/11/92
93;Mangartska koča na Mangartskem sedlu;Slovenija;Julijske Alpe;1906;46,43932°N 13,64065°E;koča;516143;92% (315. mesto);8;3;0;4;https://www.hribi.net/gora/mangartska_koca_na_mangartskem_sedlu/1/93
94;Dom Planika pod Triglavom;Slovenija;Julijske Alpe;2401;46,37154°N 13,84605°E;koča;659540;97% (129. mesto);9;9;0;11;https://www.hribi.net/gora/dom_planika_pod_triglavom/1/94
95;Kamniška koča na Kamniškem sedlu;Slovenija;Kamniško Savinjske Alpe;1864;46,35919°N 14,59748°E;koča, bivak, sedlo;1267668;100% (6. mesto);13;4;4;20;https://www.hribi.net/gora/kamniska_koca_na_kamniskem_sedlu/3/95
96;Brana;Slovenija;Kamniško Savinjske Alpe;2253;46,35487°N 14,5874°E;vrh;960210;99% (34. mesto);7;4;2;7;https://www.hribi.net/gora/brana/3/96
97;Kepa;Avstrija, Slovenija;Karavanke;2143;46,50679°N 13,95249°E;vrh;756860;98% (79. mesto);35;9;3;5;https://www.hribi.net/gora/kepa/11/97
98;Cojzova koča na Kokrskem sedlu;Slovenija;Kamniško Savinjske Alpe;1793;46,34433°N 14,54697°E;koča, bivak, sedlo;826710;99% (56. mesto);8;4;0;19;https://www.hribi.net/gora/cojzova_koca_na_kokrskem_sedlu/3/98
99;Velo polje;Slovenija;Julijske Alpe;1680;46,35695°N 13,85513°E;planina;475112;89% (426. mesto);8;7;0;;https://www.hribi.net/gora/velo_polje/1/99
100;Koča na Doliču;Slovenija;Julijske Alpe;2151;46,36487°N 13,81953°E;koča, sedlo;662207;97% (126. mesto);10;10;1;1;https://www.hribi.net/gora/koca_na_dolicu/1/100
101;Planina Krstenica;Slovenija;Julijske Alpe;1670;46,32596°N 13,85037°E;planina;546815;93% (262. mesto);11;3;2;4;https://www.hribi.net/gora/planina_krstenica/1/101
102;Dom na Komni;Slovenija;Julijske Alpe;1520;46,28446°N 13,77338°E;koča;891696;99% (46. mesto);10;12;2;17;https://www.hribi.net/gora/dom_na_komni/1/102
103;Kalška gora;Slovenija;Kamniško Savinjske Alpe;2047;46,34087°N 14,5476°E;vrh;634640;96% (141. mesto);3;11;2;7;https://www.hribi.net/gora/kalska_gora/3/103
105;Triglavska vojašnica Viktorja Emanuela III.;Slovenija;Julijske Alpe;2520;46,37661°N 13,82681°E;Vremenska napoved:;515747;92% (317. mesto);6;4;0;;https://www.hribi.net/gora/triglavska_vojasnica_viktorja_emanuela_iii/1/105
106;Mišelj vrh;Slovenija;Julijske Alpe;2350;46,3565°N 13,83745°E;vrh;529582;92% (294. mesto);15;1;2;;https://www.hribi.net/gora/miselj_vrh/1/106
